3hr_10cGy_10r
3hr tissue water frac
GC / MS DATA FILE
1/27/2011 10:25:00 PM

HZP
GCMSD_1
SpectrumDescription	Minutes	BPI	TIC	TotalSignalRawFromIndex
SpectrumIndex 0 at 6.34 minutes; base peak 75 m/z with intensity 41512; TIC = 6003603	6.34	41512	6003603	250570
SpectrumIndex 1 at 6.35 minutes; base peak 75 m/z with intensity 41480; TIC = 6300185	6.35	41480	6300185	259236
SpectrumIndex 2 at 6.36 minutes; base peak 75 m/z with intensity 41600; TIC = 9294300	6.36	41600	9294300	267034
SpectrumIndex 3 at 6.36 minutes; base peak 75 m/z with intensity 337664; TIC = 9082321	6.36	337664	9082321	284605
SpectrumIndex 4 at 6.37 minutes; base peak 75 m/z with intensity 41680; TIC = 6340692	6.37	41680	6340692	285566
SpectrumIndex 5 at 6.37 minutes; base peak 75 m/z with intensity 336192; TIC = 6959611	6.37	336192	6959611	280192
SpectrumIndex 6 at 6.38 minutes; base peak 75 m/z with intensity 2720256; TIC = 14170509	6.38	2720256	14170509	289966
SpectrumIndex 7 at 6.39 minutes; base peak 75 m/z with intensity 43520; TIC = 11365589	6.39	43520	11365589	330381
SpectrumIndex 8 at 6.39 minutes; base peak 75 m/z with intensity 47680; TIC = 13505665	6.39	47680	13505665	434049
SpectrumIndex 9 at 6.40 minutes; base peak 75 m/z with intensity 3639808; TIC = 14222909	6.40	3639808	14222909	594654
SpectrumIndex 10 at 6.41 minutes; base peak 75 m/z with intensity 8751; TIC = 20544085	6.41	8751	20544085	748238
SpectrumIndex 11 at 6.41 minutes; base peak 75 m/z with intensity 519360; TIC = 14762055	6.41	519360	14762055	682001
SpectrumIndex 12 at 6.42 minutes; base peak 75 m/z with intensity 6432; TIC = 11263450	6.42	6432	11263450	449174
SpectrumIndex 13 at 6.42 minutes; base peak 75 m/z with intensity 2723328; TIC = 12440459	6.42	2723328	12440459	286787
SpectrumIndex 14 at 6.43 minutes; base peak 75 m/z with intensity 319552; TIC = 7224359	6.43	319552	7224359	227648
SpectrumIndex 15 at 6.44 minutes; base peak 75 m/z with intensity 4915; TIC = 7749257	6.44	4915	7749257	208615
SpectrumIndex 16 at 6.44 minutes; base peak 75 m/z with intensity 39472; TIC = 5274830	6.44	39472	5274830	211898
SpectrumIndex 17 at 6.45 minutes; base peak 75 m/z with intensity 320384; TIC = 7269823	6.45	320384	7269823	226518
SpectrumIndex 18 at 6.46 minutes; base peak 75 m/z with intensity 322560; TIC = 9078706	6.46	322560	9078706	233660
SpectrumIndex 19 at 6.46 minutes; base peak 75 m/z with intensity 321408; TIC = 7836412	6.46	321408	7836412	230928
SpectrumIndex 20 at 6.47 minutes; base peak 75 m/z with intensity 39920; TIC = 5996915	6.47	39920	5996915	213050
SpectrumIndex 21 at 6.47 minutes; base peak 75 m/z with intensity 4876; TIC = 5189469	6.47	4876	5189469	194190
SpectrumIndex 22 at 6.48 minutes; base peak 75 m/z with intensity 4883; TIC = 5356810	6.48	4883	5356810	189301
SpectrumIndex 23 at 6.49 minutes; base peak 75 m/z with intensity 4879; TIC = 6647052	6.49	4879	6647052	187393
SpectrumIndex 24 at 6.49 minutes; base peak 75 m/z with intensity 2486272; TIC = 9541950	6.49	2486272	9541950	200910
SpectrumIndex 25 at 6.50 minutes; base peak 75 m/z with intensity 4892; TIC = 6708386	6.50	4892	6708386	209951
SpectrumIndex 26 at 6.51 minutes; base peak 75 m/z with intensity 4867; TIC = 6301611	6.51	4867	6301611	226200
SpectrumIndex 27 at 6.51 minutes; base peak 73.1 m/z with intensity 41560; TIC = 9650031	6.51	41560	9650031	282547
SpectrumIndex 28 at 6.52 minutes; base peak 207 m/z with intensity 385920; TIC = 8064314	6.52	385920	8064314	364985
SpectrumIndex 29 at 6.52 minutes; base peak 207 m/z with intensity 3133952; TIC = 15246412	6.52	3133952	15246412	356473
SpectrumIndex 30 at 6.53 minutes; base peak 207 m/z with intensity 336256; TIC = 6793353	6.53	336256	6793353	283387
SpectrumIndex 31 at 6.54 minutes; base peak 75 m/z with intensity 2480640; TIC = 7511269	6.54	2480640	7511269	214569
SpectrumIndex 32 at 6.54 minutes; base peak 75 m/z with intensity 2476032; TIC = 10730534	6.54	2476032	10730534	186942
SpectrumIndex 33 at 6.55 minutes; base peak 75 m/z with intensity 2485760; TIC = 9299555	6.55	2485760	9299555	183129
SpectrumIndex 34 at 6.56 minutes; base peak 75 m/z with intensity 4885; TIC = 5017271	6.56	4885	5017271	176877
SpectrumIndex 35 at 6.56 minutes; base peak 75 m/z with intensity 2460672; TIC = 7823514	6.56	2460672	7823514	172867
SpectrumIndex 36 at 6.57 minutes; base peak 75 m/z with intensity 4877; TIC = 5013737	6.57	4877	5013737	180348
SpectrumIndex 37 at 6.57 minutes; base peak 75 m/z with intensity 39760; TIC = 5815631	6.57	39760	5815631	191459
SpectrumIndex 38 at 6.58 minutes; base peak 75 m/z with intensity 320768; TIC = 8502614	6.58	320768	8502614	195118
SpectrumIndex 39 at 6.59 minutes; base peak 75 m/z with intensity 322752; TIC = 6125478	6.59	322752	6125478	208972
SpectrumIndex 40 at 6.59 minutes; base peak 75 m/z with intensity 5120; TIC = 7740900	6.59	5120	7740900	230562
SpectrumIndex 41 at 6.60 minutes; base peak 75 m/z with intensity 337728; TIC = 8873114	6.60	337728	8873114	263796
SpectrumIndex 42 at 6.61 minutes; base peak 153 m/z with intensity 5423; TIC = 8495851	6.61	5423	8495851	285587
SpectrumIndex 43 at 6.61 minutes; base peak 153 m/z with intensity 371904; TIC = 5736178	6.61	371904	5736178	298303
SpectrumIndex 44 at 6.62 minutes; base peak 153 m/z with intensity 3116032; TIC = 11764366	6.62	3116032	11764366	307557
SpectrumIndex 45 at 6.62 minutes; base peak 153 m/z with intensity 49784; TIC = 10274273	6.62	49784	10274273	308205
SpectrumIndex 46 at 6.63 minutes; base peak 153 m/z with intensity 6173; TIC = 10882904	6.63	6173	10882904	307555
SpectrumIndex 47 at 6.64 minutes; base peak 153 m/z with intensity 5936; TIC = 8742412	6.64	5936	8742412	292044
SpectrumIndex 48 at 6.64 minutes; base peak 153 m/z with intensity 5686; TIC = 6457240	6.64	5686	6457240	276474
SpectrumIndex 49 at 6.65 minutes; base peak 153 m/z with intensity 2857472; TIC = 11219506	6.65	2857472	11219506	269276
SpectrumIndex 50 at 6.66 minutes; base peak 153 m/z with intensity 5412; TIC = 9982246	6.66	5412	9982246	259948
SpectrumIndex 51 at 6.66 minutes; base peak 153 m/z with intensity 2722304; TIC = 11595964	6.66	2722304	11595964	263093
SpectrumIndex 52 at 6.67 minutes; base peak 75 m/z with intensity 336320; TIC = 4125848	6.67	336320	4125848	267380
SpectrumIndex 53 at 6.67 minutes; base peak 75 m/z with intensity 41568; TIC = 5886799	6.67	41568	5886799	256124
SpectrumIndex 54 at 6.68 minutes; base peak 75 m/z with intensity 41664; TIC = 9178326	6.68	41664	9178326	249291
SpectrumIndex 55 at 6.69 minutes; base peak 75 m/z with intensity 5131; TIC = 6224664	6.69	5131	6224664	228129
SpectrumIndex 56 at 6.69 minutes; base peak 75 m/z with intensity 5134; TIC = 4591844	6.69	5134	4591844	226873
SpectrumIndex 57 at 6.70 minutes; base peak 75 m/z with intensity 5127; TIC = 8676564	6.70	5127	8676564	230521
SpectrumIndex 58 at 6.71 minutes; base peak 75 m/z with intensity 2609152; TIC = 6578899	6.71	2609152	6578899	232301
SpectrumIndex 59 at 6.71 minutes; base peak 75 m/z with intensity 2596864; TIC = 7543013	6.71	2596864	7543013	221539
SpectrumIndex 60 at 6.72 minutes; base peak 75 m/z with intensity 322304; TIC = 4270749	6.72	322304	4270749	209485
SpectrumIndex 61 at 6.72 minutes; base peak 75 m/z with intensity 322944; TIC = 5062802	6.72	322944	5062802	208169
SpectrumIndex 62 at 6.73 minutes; base peak 75 m/z with intensity 39840; TIC = 5537561	6.73	39840	5537561	199155
SpectrumIndex 63 at 6.74 minutes; base peak 75 m/z with intensity 39720; TIC = 4453763	6.74	39720	4453763	198430
SpectrumIndex 64 at 6.74 minutes; base peak 75 m/z with intensity 321920; TIC = 5164576	6.74	321920	5164576	219522
